Term,DocID,Positions
of,1,"[3, 16, 21, 64, 95, 98, 119, 125, 147, 155, 190, 202, 224, 232, 237, 250, 290, 388, 401, 405, 440, 451, 463, 512, 545, 602, 614, 622, 640, 644, 688, 700, 704, 714, 720, 744, 752, 762, 765, 779, 790, 799, 808, 817, 825, 840, 843, 855, 858, 886, 924, 988, 1003, 1027, 1038, 1059, 1076, 1104, 1144, 1150, 1180, 1202, 1215, 1240, 1267, 1273, 1283, 1309, 1377, 1387, 1395, 1415, 1448, 1470, 1472, 1494, 1499, 1505, 1518, 1548, 1558, 1613, 1670, 1674, 1684, 1717, 1726, 1729, 1795, 1805, 1836, 1846, 1852, 1891, 1933, 1936, 1963, 1972, 1983, 2002, 2008, 2015, 2021, 2028, 2044, 2049, 2064, 2080, 2088, 2121, 2129, 2148, 2187, 2230, 2249, 2259, 2293, 2324, 2334, 2337, 2339, 2348, 2377, 2402, 2416, 2425, 2427, 2437, 2455, 2459, 2487, 2503, 2511, 2517, 2524, 2558, 2563, 2585, 2593, 2598, 2604, 2614, 2624, 2630, 2644, 2664, 2674, 2680, 2689, 2694, 2702, 2716, 2748, 2753, 2759, 2770, 2798, 2831, 2866, 2940, 2946, 2979, 2983, 3012, 3026, 3050, 3058, 3060, 3090, 3101, 3131, 3170, 3178, 3190, 3192, 3202, 3222, 3232, 3238, 3264, 3271, 3296, 3348, 3362, 3369, 3382, 3396, 3400, 3423, 3446, 3457, 3472, 3477, 3499, 3547, 3557, 3567, 3603, 3645, 3674, 3701, 3706, 3714, 3764, 3768, 3774, 3783, 3811, 3824, 3827, 3833, 3866, 3883, 3898, 3932, 3938, 3954, 3970, 3981, 4012, 4076, 4120, 4146, 4151, 4164, 4204, 4216, 4232, 4272, 4286, 4289, 4367, 4373, 4401, 4414, 4430, 4478, 4503, 4517, 4541, 4561, 4576, 4591, 4609, 4642, 4681, 4697, 4708, 4730, 4744, 4747, 4765, 4776, 4797, 4805, 4824, 4841, 4847, 4867, 4873, 4879, 4892, 4901, 4919, 4944, 4998, 5003, 5026, 5028, 5041, 5044, 5061, 5085, 5101, 5155, 5172, 5260, 5288, 5322, 5325, 5349, 5376, 5381, 5428, 5459, 5545, 5553, 5558, 5571, 5575, 5586, 5598, 5619, 5707, 5714, 5731, 5745, 5771, 5848, 5852, 5863, 5873, 5886, 5903, 5922, 5955, 5992, 6014, 6074, 6077, 6101, 6144, 6168, 6189, 6195, 6199, 6206, 6236, 6247, 6251, 6258, 6269, 6305, 6341, 6350, 6358, 6368, 6382, 6395, 6438, 6503, 6514, 6597, 6608, 6616, 6663, 6675, 6704, 6717, 6724, 6745, 6763, 6770, 6783, 6786, 6834, 6840, 6865, 6894, 6914, 6923, 6930, 6946, 6950, 6965, 6982, 6992, 6998, 7047, 7062, 7085, 7087, 7121, 7145, 7167, 7171, 7173, 7189, 7216, 7249, 7328, 7358, 7365, 7412, 7426, 7437, 7440, 7486, 7516, 7525, 7538, 7542, 7568, 7582, 7593, 7606, 7622, 7641, 7698, 7700, 7710, 7729, 7751, 7773, 7794, 7855, 7868, 7932, 7935, 7947, 7950, 7953, 7957, 7964, 7972, 8002, 8018, 8027, 8033, 8035, 8045, 8080, 8086, 8106, 8122, 8127, 8130, 8138, 8143, 8199, 8209, 8221, 8233, 8242, 8266, 8279, 8285, 8291, 8306, 8310, 8333, 8346, 8364, 8398, 8425, 8427, 8480, 8497, 8508, 8520, 8536, 8581, 8584, 8645, 8670, 8676, 8694, 8717, 8720, 8741, 8764, 8786, 8807, 8829, 8860, 8885, 8890, 8958, 8967, 8971, 9003, 9024, 9037, 9065, 9095, 9109, 9133, 9136, 9159, 9169, 9183, 9233, 9260, 9275, 9289, 9359, 9384, 9408, 9425, 9451, 9483, 9499, 9513, 9561, 9582, 9638, 9648, 9661, 9704, 9706, 9721, 9729, 9732, 9754, 9787, 9801, 9809, 9858, 9875, 9895, 9918, 9935, 9981, 9997, 10018, 10077, 10104, 10128, 10140, 10188, 10213, 10241, 10280, 10293, 10300, 10347, 10362, 10366, 10396, 10402, 10426, 10494, 10509, 10529, 10566, 10590, 10616, 10645, 10666, 10697, 10712, 10737, 10818, 10832, 10853]"
of,11,"[13, 20, 44, 53, 92, 125, 200, 245, 257, 263, 296, 333, 356, 369, 429, 436, 440, 489, 586, 623, 634, 646, 665, 677, 723, 770, 776, 800, 815, 853, 859, 888, 901, 915, 945, 982, 998, 1024, 1038, 1043, 1114, 1117, 1194]"
of,12,"[1, 11, 15, 22, 35, 54, 57, 62, 70, 109, 123, 166, 198, 216, 246, 283, 319, 397, 408, 458, 469, 471, 489, 500, 520, 556, 567, 656, 667, 685, 691, 721, 736, 746, 754, 765, 772, 792, 805, 829, 854, 856, 870, 873, 885, 958, 968, 1045, 1061, 1080, 1131, 1140, 1152, 1212, 1241, 1290, 1312, 1328, 1356, 1358, 1448, 1506, 1547, 1563, 1611, 1615, 1650, 1656, 1661, 1673, 1681, 1698, 1712, 1716, 1723, 1728, 1783, 1808, 1828, 1836, 1841, 1851, 1882, 1897, 1902, 1925, 1938, 1953, 1958, 1964, 1977, 1979, 2114, 2200, 2213, 2281, 2296, 2304, 2327, 2349, 2353, 2359, 2373, 2391, 2442, 2467, 2489, 2514, 2615, 2673, 2685, 2707, 2718, 2733, 2750, 2767, 2773, 2803, 2823, 2842, 2847, 2884, 2915, 2925, 2937, 2973, 2977, 2990, 2993, 3000, 3024, 3034, 3103, 3106, 3163, 3177, 3188, 3221, 3244, 3258, 3273, 3320, 3325, 3329, 3342, 3350, 3358, 3361, 3393, 3434, 3458, 3498, 3554, 3579, 3586, 3596, 3645, 3662, 3682, 3725, 3730, 3749, 3769, 3806, 3868, 3917, 3936, 4056, 4059, 4066, 4103, 4110, 4134, 4154, 4157, 4165, 4180, 4200, 4206, 4246, 4298, 4337, 4342, 4354, 4381, 4392, 4399, 4415, 4505, 4511, 4518, 4532, 4569, 4599, 4627, 4643, 4674, 4706, 4744, 4775, 4786, 4793, 4796, 4804, 4822, 4953, 4960, 4978, 5006, 5026, 5055, 5111, 5117, 5166, 5187, 5204, 5219, 5227, 5275, 5290, 5296, 5355, 5394, 5415, 5423, 5488, 5524, 5604, 5634, 5645, 5667, 5715, 5783, 5826, 5843, 5873, 5892, 5947, 5956, 5977, 5992, 5998, 6029, 6037, 6060, 6070, 6082, 6087, 6116, 6151, 6168, 6205, 6223, 6269, 6275, 6307, 6322, 6346, 6365, 6392, 6400, 6426, 6464, 6470, 6499, 6508, 6529, 6531, 6542, 6559, 6594, 6624, 6646, 6652, 6657, 6694, 6765, 6810, 6840, 6891, 6968, 6993, 7005, 7063, 7079, 7091, 7095, 7111, 7115, 7152, 7165, 7172, 7175, 7181, 7196, 7210, 7222, 7255, 7259, 7264, 7320, 7331, 7333, 7376, 7445, 7460, 7495, 7498, 7515, 7518, 7529, 7535, 7559, 7561, 7572, 7612, 7614, 7638, 7699, 7704, 7853, 7863, 7878, 7900, 7910, 7923, 7951, 7974, 7981, 8000, 8009, 8058, 8088, 8094, 8133, 8144, 8157, 8162, 8170, 8176, 8194, 8207, 8210, 8256, 8270, 8315, 8319, 8343, 8358, 8368, 8389, 8418, 8459, 8478, 8485, 8510, 8534, 8553, 8644, 8730, 8750, 8758, 8771, 8825, 8882, 8894, 8923, 8951, 8994, 9003, 9010, 9021, 9024, 9089, 9133, 9155, 9171, 9187, 9224, 9231, 9247, 9284, 9296, 9310, 9320, 9347, 9364, 9376, 9401, 9421, 9427, 9432, 9437, 9447, 9451, 9494, 9497, 9534, 9589, 9732, 9737, 9748, 9762, 9765, 9768, 9826, 9838, 9844, 9866, 9945, 9951, 9956, 9962, 9966, 9988, 9999, 10024, 10064, 10069, 10074, 10081, 10092, 10098, 10106, 10135, 10146, 10157, 10168, 10187, 10203, 10205, 10211, 10220, 10230, 10239, 10251, 10267, 10275, 10287, 10296, 10313, 10326, 10331, 10336, 10354, 10366, 10373, 10377, 10384, 10394, 10402, 10413, 10425, 10441, 10446, 10451, 10461, 10472, 10481, 10491, 10495, 10508, 10529, 10534, 10551, 10556, 10563, 10568, 10574, 10581, 10588, 10595, 10602, 10607, 10614, 10619, 10630, 10642, 10664, 10681, 10687, 10695, 10705, 10710, 10716, 10727, 10729, 10739, 10758, 10764, 10776, 10812, 10815, 10831, 10840, 10847, 10853, 10868, 10877, 10885, 10899, 10904, 10907, 10915, 10928, 10944, 10952, 10965, 10983, 10987, 10995, 11004, 11018, 11036, 11042, 11048, 11061, 11073, 11079, 11087, 11100, 11113, 11124, 11129, 11137, 11152, 11161, 11167, 11178, 11192, 11197, 11206, 11218, 11224, 11232, 11236, 11249, 11255, 11261, 11282, 11296, 11302, 11311, 11334, 11354, 11360, 11366, 11371, 11387, 11396, 11400, 11406, 11410, 11419, 11424, 11435, 11450, 11465, 11476, 11493, 11502, 11505, 11515, 11525, 11531, 11540, 11544, 11555, 11564, 11575, 11581, 11584, 11598, 11606, 11608, 11627, 11640, 11651, 11662, 11668, 11679, 11690, 11703, 11718, 11722, 11731, 11737, 11739, 11744, 11749, 11753, 11762, 11768, 11773, 11783, 11789, 11796, 11801, 11813, 11829, 11844, 11855, 11861, 11869, 11881, 11888, 11893, 11906, 11917, 11923, 11937, 11945, 11954, 11969, 11975, 11979, 11994, 12024, 12037, 12042, 12050, 12055, 12066, 12073, 12080, 12095, 12105, 12109, 12115, 12126, 12132, 12153, 12168, 12180, 12187, 12198, 12227, 12237, 12243, 12247, 12254, 12266, 12276, 12293, 12307, 12325, 12342, 12349, 12361, 12381, 12393, 12412, 12421, 12425, 12432, 12448, 12454, 12456, 12469, 12483, 12493, 12498, 12506, 12510, 12518, 12534, 12544, 12565, 12583, 12587, 12594, 12598, 12609, 12616, 12625, 12632, 12640, 12661, 12676, 12692, 12707, 12719, 12721, 12736, 12743, 12754, 12766, 12770, 12777, 12784, 12788, 12810, 12816, 12822, 12842, 12869, 12888, 12896, 12899, 12913, 12926, 12931, 12937, 12944, 12953, 12960, 12969, 12981, 12992, 12998, 13005, 13012, 13034, 13046, 13054, 13063, 13081, 13086, 13093, 13109, 13126, 13139, 13153, 13170, 13181, 13191, 13201, 13206, 13225, 13235, 13241, 13258, 13273, 13283, 13290, 13303, 13336, 13361, 13373, 13388, 13417, 13430, 13443, 13452, 13459, 13468, 13481, 13490, 13499, 13514, 13529, 13549, 13564, 13574, 13580, 13604, 13607, 13628, 13632, 13644, 13662, 13678, 13683, 13689, 13695, 13707, 13722, 13729, 13739, 13748, 13761, 13773, 13782, 13793, 13804, 13811, 13823, 13834, 13851, 13862, 13867, 13873, 13881, 13889, 13897, 13901, 13912, 13924, 13938, 13949, 13955, 13966, 13983, 13991, 13997, 14023, 14030, 14039, 14041, 14071, 14075, 14087, 14098, 14112, 14126, 14138, 14150, 14154, 14158, 14169, 14185, 14188, 14197, 14202, 14208, 14217, 14238, 14255, 14264, 14296, 14316, 14334, 14343, 14348, 14354, 14361, 14366, 14372, 14385, 14391, 14405, 14426, 14440, 14452, 14457, 14464, 14472, 14479, 14485, 14495, 14512, 14516, 14525, 14531, 14536, 14548, 14556, 14563, 14571, 14578, 14582, 14591, 14598, 14609, 14620, 14632, 14638, 14642, 14664, 14673, 14686, 14706, 14710, 14721, 14728, 14732, 14735, 14744, 14746, 14756, 14761, 14771, 14775, 14784, 14797, 14804, 14808, 14814, 14821, 14828, 14833, 14840, 14850, 14863, 14871, 14877, 14881, 14891, 14896, 14914, 14925, 14931, 14937, 14944, 14953, 14970, 14975, 14978, 14991, 15003, 15019, 15028, 15034, 15045, 15077, 15091, 15107, 15120, 15131, 15145, 15154, 15167, 15183, 15192, 15196, 15206, 15217, 15229, 15235, 15243, 15254, 15269, 15279, 15287, 15296, 15309, 15317, 15321, 15332, 15339, 15345, 15371, 15377, 15382, 15396, 15406, 15415, 15420, 15426, 15435, 15462, 15476, 15505, 15523, 15535, 15547, 15564, 15594, 15597, 15605, 15612, 15626, 15643, 15667]"
of,13,"[145, 150, 175, 275, 300, 339, 482, 508, 620, 661, 772, 879, 893, 901, 906, 1010, 1039, 1098, 1106, 1125, 1194, 1243, 1246, 1291, 1367, 1403, 1430, 1488, 1494, 1519, 1556, 1573, 1587, 1596, 1598, 1617, 1646, 1725, 1778, 1808, 1833, 1852, 1871, 1878, 1883, 1887, 1896, 1908, 1932, 1968, 1988, 2029, 2031, 2070, 2127, 2172, 2258, 2279, 2325, 2371, 2408, 2450, 2492, 2520, 2542, 2544, 2553, 2563, 2594, 2648, 2677, 2690, 2697, 2729, 2798, 2803, 2871, 2899, 2921, 2951, 2961, 2990, 3088, 3107, 3130, 3135, 3151, 3157, 3172, 3175, 3181, 3229, 3294, 3309, 3382, 3435, 3456, 3460, 3476, 3500, 3606, 3622, 3628, 3640, 3664, 3674, 3694, 3704, 3808, 3851, 3891, 3941, 3948, 3981, 4043, 4066, 4079, 4082, 4185, 4413, 4488, 4534, 4630, 4709, 4734, 4753, 4816, 4863, 4904, 5018, 5022, 5086, 5217, 5273, 5276, 5284, 5319, 5373, 5386, 5393, 5396, 5450]"
of,14,"[145, 150, 175, 275, 300, 339, 482, 508, 620, 661, 772, 879, 893, 901, 906, 1010, 1039, 1098, 1106, 1125, 1194, 1243, 1246, 1291, 1367, 1403, 1430, 1488, 1494, 1519, 1556, 1573, 1587, 1596, 1598, 1617, 1646, 1725, 1778, 1808, 1833, 1852, 1871, 1878, 1883, 1887, 1896, 1908, 1932, 1968, 1988, 2029, 2031, 2070, 2127, 2172, 2258, 2279, 2325, 2371, 2408, 2450, 2492, 2520, 2542, 2544, 2553, 2563, 2594, 2648, 2677, 2690, 2697, 2729, 2798, 2803, 2871, 2899, 2921, 2951, 2961, 2990, 3088, 3107, 3130, 3135, 3151, 3157, 3172, 3175, 3181, 3229, 3294, 3309, 3382, 3435, 3456, 3460, 3476, 3500, 3606, 3622, 3628, 3640, 3664, 3674, 3694, 3704, 3808, 3851, 3891, 3941, 3948, 3981, 4043, 4066, 4079, 4082, 4185, 4413, 4488, 4534, 4630, 4709, 4734, 4753, 4816, 4863, 4904, 5018, 5022, 5086, 5217, 5273, 5276, 5284, 5319, 5373, 5386, 5393, 5396, 5450]"
of,15,"[27, 43, 61, 75, 93, 125, 130, 281, 313, 317, 340, 344, 359, 364, 370, 382, 392, 415, 445, 456, 479, 512, 539, 544, 548, 586, 593, 620, 646, 666, 710, 734, 739, 790, 824, 854, 879, 885, 889, 930, 941, 952, 977, 999, 1010, 1059, 1062, 1070, 1083, 1092, 1120, 1129, 1138, 1161, 1164, 1192, 1280, 1349, 1360, 1372, 1382, 1392, 1395, 1409, 1413, 1510, 1518, 1548, 1565, 1575, 1582, 1596, 1599, 1610, 1615, 1619, 1635, 1674, 1690, 1695, 1701, 1741, 1792, 1838, 1857, 1872, 1898, 1910, 1912, 1938, 1982, 2010, 2026, 2046, 2068, 2079, 2118, 2122, 2162, 2219, 2231, 2255, 2263, 2306, 2392, 2404, 2429, 2468, 2511, 2525, 2530, 2544, 2546, 2551, 2567, 2627, 2648, 2680, 2686, 2754, 2775, 2779, 2785, 2806, 2818, 2841, 2850, 2867, 2904, 2929, 2933, 2954, 3002, 3012, 3038, 3047, 3071, 3075, 3083, 3097, 3108, 3160, 3174, 3206, 3218, 3257, 3270, 3289, 3299, 3322, 3341, 3344, 3363, 3376, 3401, 3404, 3409, 3427, 3440, 3449, 3464, 3468, 3473, 3506, 3516, 3521, 3526, 3572, 3577, 3643, 3661, 3701, 3721, 3725, 3729, 3740, 3825, 3828, 3847, 3926, 4007, 4021, 4025, 4070, 4098, 4122, 4127, 4161, 4180, 4217, 4239, 4286, 4293, 4304, 4308, 4316, 4337, 4354, 4370, 4375, 4390, 4406, 4424, 4431, 4479, 4504, 4510, 4550, 4599, 4608, 4622, 4625, 4638, 4642, 4654, 4663, 4698, 4705, 4715, 4752, 4783, 4788, 4796, 4824, 4835, 4841, 4901, 4928, 4974, 4993, 4997, 5017, 5021, 5036, 5081, 5088, 5131, 5152, 5234, 5255, 5266, 5277, 5328, 5339, 5378, 5387, 5459, 5481, 5546, 5620, 5623, 5631, 5669, 5695, 5745, 5765, 5773, 5818, 5829, 5837, 5839, 5860, 5878, 5889, 5920, 5958, 5961, 5969, 6006, 6009, 6012, 6039, 6097, 6099, 6127, 6142, 6145, 6149, 6182, 6212, 6222, 6239, 6246, 6249, 6295, 6299, 6303, 6323, 6326, 6332, 6385, 6404, 6415, 6424, 6430, 6448, 6477, 6484, 6524, 6581, 6592, 6601, 6610, 6652, 6673, 6680, 6688, 6711, 6781, 6783, 6786, 6873, 6911, 6937, 7020, 7053, 7199, 7358, 7399, 7432, 7474, 7480, 7485, 7499, 7553, 7556, 7638, 7663, 7727, 7744, 7762, 7833, 7884, 7909, 7974, 7998, 8025, 8038, 8048, 8131, 8179, 8182, 8191, 8194]"
of,16,"[28, 52, 57, 128, 134, 140, 169, 178, 193, 206, 256, 299, 304, 307, 377, 402, 417, 441, 452, 456, 462, 466, 508, 523, 529, 554, 578, 633, 639, 671, 686, 691, 706, 744, 747, 782, 810, 912, 933, 974, 987, 996, 1061, 1085, 1124, 1165, 1266, 1286, 1295, 1355, 1359, 1369, 1377, 1413, 1417, 1430, 1509, 1516, 1541, 1549, 1552, 1559, 1567, 1577, 1626, 1685, 1709, 1749, 1754, 1782, 1808, 1827, 1837, 1910, 1932, 1934, 1983, 1994, 2037, 2046, 2050, 2070, 2076, 2090, 2095, 2113, 2133, 2145, 2152, 2155, 2180, 2182, 2184, 2208, 2244, 2253, 2257, 2272, 2283, 2289, 2328, 2379, 2389, 2393, 2448, 2452, 2460, 2469, 2477, 2489, 2495, 2524, 2534, 2559, 2561, 2565, 2577, 2593, 2609, 2611, 2613, 2615, 2629, 2668, 2672, 2682, 2691, 2803, 2808, 2814, 2885, 2895, 2902, 2940, 2947, 2953, 2970, 2979, 3002, 3090, 3120, 3129, 3139, 3148, 3153, 3178, 3182, 3262, 3280, 3323, 3368, 3400, 3420, 3430, 3444, 3460, 3499, 3512, 3522, 3527, 3534, 3551, 3557, 3615, 3626, 3630, 3648, 3660, 3680, 3689, 3724, 3729, 3738, 3743, 3774, 3778, 3793, 3801, 3805, 3819, 3843, 3851, 3853, 3875, 3892, 3905, 3911, 3941, 3947, 3957, 3974, 3986, 4038, 4045, 4052, 4055, 4061, 4072, 4083, 4094, 4111, 4119, 4126, 4143, 4151, 4159, 4183, 4189, 4202, 4211, 4218, 4319, 4336, 4355, 4375, 4399, 4422, 4438, 4463, 4525, 4528, 4537, 4572, 4584, 4615, 4632, 4643, 4647, 4651, 4654, 4663, 4675, 4686, 4695, 4704, 4745, 4758, 4773, 4778, 4790, 4802, 4806, 4816, 4824, 4826, 4832, 4872, 4888, 4904, 4907, 4948, 5050, 5084, 5088, 5129, 5136, 5140, 5182, 5308, 5401, 5428, 5435, 5437, 5486, 5509, 5543, 5585, 5596, 5617, 5633, 5637, 5657, 5673, 5702, 5737, 5765, 5828, 5889, 5935, 5949, 5963, 5970, 5976, 6036, 6079, 6103, 6131, 6159, 6166, 6206, 6211, 6274, 6284, 6311, 6323, 6330, 6364, 6387, 6392, 6402, 6415, 6430, 6454, 6470, 6509, 6519, 6525, 6544, 6581, 6600, 6718, 6721, 6753, 6860, 6941, 7087, 7095, 7109, 7116, 7133, 7155, 7167, 7248, 7290, 7338, 7355, 7405, 7454, 7476, 7516, 7529, 7548, 7561, 7568, 7613, 7630, 7639, 7652, 7667, 7680, 7724, 7738, 7802, 7815, 7821, 7826, 7879, 7882, 7913, 7938, 7948, 8059, 8096, 8158, 8215, 8300, 8357, 8439, 8445, 8484, 8500, 8503, 8595, 8632, 8704, 8724, 8774, 8794, 8826, 8869, 8926, 8939, 8949, 8960, 9115, 9162, 9180, 9287, 9319, 9511, 9585, 9620, 9645, 9660, 9667, 9783, 9826, 9830, 9921, 9961, 9973, 9993, 10004, 10071, 10088, 10132, 10167, 10185, 10220, 10240, 10273, 10296, 10413, 10505]"
of,17,"[11, 16, 39, 59, 119, 147, 152, 161, 168, 182, 189, 217, 278, 293, 339, 342, 348, 365, 429, 459, 475, 518, 568, 573, 623, 643, 684, 730, 803, 811, 823, 840, 844, 856, 882, 892, 900, 908, 926, 948, 957, 964, 984, 993, 1015, 1058, 1103, 1115, 1135, 1157, 1165, 1187, 1196, 1203, 1214, 1252, 1259, 1263, 1273, 1354, 1372, 1406, 1434, 1485, 1495, 1525, 1558, 1606, 1614, 1624, 1635, 1649, 1664, 1674, 1719, 1793, 1809, 1819, 1821, 1846, 1910, 2183, 2199, 2355, 2359, 2364, 2373, 2385, 2397, 2459, 2532, 2539, 2662, 2717, 2741, 2754, 2781, 2793, 2867, 2919, 2925, 2984, 2999, 3023, 3088, 3127, 3134, 3152, 3163, 3232, 3238, 3285, 3344, 3380, 3406, 3482, 3600, 3639, 3646, 3703, 3895, 3934, 3955, 4006, 4034, 4072, 4084, 4163, 4198, 4210, 4217, 4225, 4295, 4297, 4391, 4614, 4745, 4748, 4802, 4833, 4850, 4861, 4931, 4949, 4964, 4987, 5072, 5205, 5317, 5325, 5330, 5353, 5383, 5394, 5464, 5501, 5568, 5623, 5629, 5649, 5690, 5712, 5768, 5780, 5817, 5875, 5885, 5900, 5902, 5907, 5929, 5953, 5959, 6068, 6074, 6135, 6181, 6267, 6329, 6333, 6362, 6369, 6409, 6554, 6560]"
of,18,"[1, 105, 115, 126, 145, 320, 333, 344, 361, 389, 393, 398, 413, 431, 433, 457, 468, 479, 512, 528, 534, 560, 626, 658, 681, 697, 728, 831, 894, 904, 914, 1100, 1186, 1209, 1220, 1244, 1260, 1288, 1302, 1320, 1358, 1362, 1403, 1453, 1525, 1534, 1544, 1557, 1563, 1581, 1642, 1655, 1680, 1694, 1745, 1779, 1803, 1822, 1835, 1874, 1902, 1958, 2026, 2036, 2080, 2105, 2161, 2182, 2185, 2203, 2222, 2228, 2310, 2351, 2371, 2420, 2644, 2713, 2715, 2719, 2742, 2813, 2909, 3143, 3194, 3229, 3367, 3371, 3570, 3591, 3639]"
of,2,"[61, 86, 94, 133, 140, 172, 219, 306, 325, 338, 351, 366, 381, 391, 408, 420, 438, 523, 560, 576, 588, 614, 619, 625, 638, 643, 688, 712, 754, 768, 788, 822, 833, 857, 870, 872, 908, 949, 954, 963, 983, 990, 999, 1004, 1020, 1037, 1052, 1101, 1105, 1201, 1212, 1244, 1258, 1275, 1321, 1365, 1400, 1412, 1428, 1438, 1452, 1536, 1546, 1618, 1685, 1688, 1708, 1738, 1756, 1822, 1838, 1861, 1884, 1916, 1919, 2000, 2007, 2015, 2116, 2122, 2129, 2142, 2152, 2159, 2164, 2169, 2177, 2182, 2201, 2221, 2247, 2256, 2282, 2341, 2346, 2354, 2360, 2369, 2389, 2424, 2453, 2465, 2472, 2495, 2510, 2520, 2603, 2631, 2651, 2671, 2685, 2689, 2693, 2700, 2773, 2783, 2852, 2860, 2874, 2897, 2899, 2915, 2920, 2931, 2954, 2963, 2983, 2999, 3005, 3016, 3037, 3066, 3068, 3094, 3122, 3127, 3134, 3157, 3160, 3166, 3181, 3204, 3215, 3266, 3298, 3304, 3315, 3322, 3387, 3418, 3443, 3450, 3552, 3577, 3595, 3623, 3654, 3662, 3665, 3681, 3701, 3705, 3707, 3713, 3730, 3752, 3768, 3773, 3778, 3784, 3791, 3804, 3820, 3826, 3888, 3891, 3897, 3912, 3916, 3932, 3961, 3966, 4005, 4049, 4066, 4136, 4145, 4154, 4167, 4208, 4213, 4246, 4271, 4295, 4302, 4307, 4338, 4408, 4433, 4509, 4515, 4527, 4534, 4562, 4575, 4585, 4606, 4616, 4627, 4632, 4637, 4741, 4933, 4968, 5024, 5059, 5118, 5123, 5192, 5210, 5237, 5380, 5405, 5453, 5596, 5599, 5611, 5613, 5699, 5946, 6025, 6032, 6036, 6055, 6067, 6103, 6239, 6277, 6305, 6356, 6386, 6477, 6625]"
of,21,"[31, 36, 78, 119, 127, 148, 208, 257, 308, 361, 473, 491, 518, 524, 572, 629, 642, 660, 684, 693, 776, 809, 819, 829, 892, 902, 925, 932, 941, 945, 978, 1025, 1039, 1059, 1072, 1084, 1125, 1131, 1137, 1229, 1414, 1434, 1507, 1531, 1551, 1618, 1645, 1724, 1732, 1740, 1760, 1778, 1803, 1805, 1839, 1863, 1893, 1918, 1969, 2050, 2078, 2115, 2121, 2180, 2185, 2274, 2290, 2301, 2343, 2350, 2428, 2513, 2537, 2600, 2661, 2671, 2674, 2688, 2928, 2934, 2963, 2988, 3155, 3190, 3247, 3353, 3473, 3486, 3580, 3698, 3732, 3775, 3798, 3807, 3824, 3862, 3890, 3923, 3936, 3998, 4082, 4090, 4171, 4184, 4187, 4318, 4324, 4378, 4409, 4591, 4596, 4657, 4675, 4699, 4843, 4927, 5050, 5051, 5157, 5299, 5358, 5400, 5483, 5508, 5642, 6247, 6275]"
